year,No Level,Primary,Secondary,Tertiary
1950,601404.6029000004,411145.0305000002,111224.91219999999,26509.9941
1955,597711.4919999995,472183.21579999995,141252.6825999999,33037.329399999995
1960,615450.5538000001,522665.8717999999,170746.65539999984,39684.6914
1965,613334.8772000001,571763.1008000004,227471.11539999998,50455.55419999997
1970,620870.5078,616474.426,283488.3938,64562.28749999999
1975,633171.9094999996,651144.9759000002,367912.1017,94640.09340000001
1980,653703.5587000002,694411.3613999999,484297.32199999987,128100.56079999995
1985,681588.7088000003,724522.5595999997,604541.3413999996,180632.5423999999
1990,720936.4739999999,746442.0453000001,745869.3807,248407.96140000003
1995,700186.6664000003,792829.8296999998,953404.0825999994,312037.6546
2000,669901.2640000003,830149.0882000002,1151187.5763999997,406548.33299999987
2005,630303.2713000001,856540.8007999997,1381347.1460999993,472068.23339999997
2010,603669.9564000003,854202.0380999997,1628867.1789000002,558951.3775999999
